编号,武将,阵营,被动技能名称,被动技能效果
1,曹操,魏,挟令诸侯,每次使用兵种卡可对随机敌人施加1层虚弱；对虚弱敌人的攻击伤害增加50%
2,夏侯惇,魏,刚烈,每次受到伤害后下次攻击额外造成伤害=当前累计伤害值，然后重新计数；每次使用攻击卡或兵种卡后，可选择发动效果：对自身造成3点伤害，抽卡1张
3,张辽,魏,威震逍遥津,每回合首击额外对敌人施加1层破甲，使用骑兵卡每次攻击伤害+50%
4,司马懿,魏,隐忍,每次诅咒卡加入手牌获得1层“隐忍”，最多4层，持续一回合，根据“隐忍”层数获得以下效果：1层：无增益；2层：每丢弃1张诅咒卡，抽1张牌；3层：回合结束获得护甲2*隐忍层数；4层：所有卡消耗行动点数量-1
5,典韦,魏,恶来,无法获得护甲；每次攻击获得1层“嗜血”；“嗜血”达到5层以上可以使用进入“死战”状态，持续1回合；“死战”状态下攻击必定暴击，每次暴击回复3点生命；
6,贾诩,魏,毒士,当敌方处于负面状态时，贾诩施加的负面状态层数 = 当前负面状态层数 + 此次施加的层数，不同类负面状态也触发此效果；每次给敌方施加负面状态获得1层“诡谋”；消耗2层“诡谋”：下一张卡费用-1
7,刘备,蜀,仁德,兵种卡造成伤害增加50%；每次使用兵种卡击败敌人，回复8生命值
8,关羽,蜀,武圣,每次击杀一名敌方主将，获得1张「过关斩将」（LV1）加入卡组；卡组中每有一张「过关斩将」：攻击伤害+3（最高+15）；
9,张飞,蜀,燕人咆哮,攻击使目标恐惧1回合；攻击恐惧目标恢复1点行动点
10,诸葛亮,蜀,卧龙,每回合开始时恢复1行动点；每次使用技能卡后，抽卡一张
11,赵云,蜀,龙胆,每回合获得一层闪避；每次闪避成功恢复1行动点
12,马超,蜀,西凉铁骑,每次造成敌人位移，额外造成8攻击伤害，抽卡一张
13,孙权,吴,制衡,每回合可以更换一张手牌，每次额外抽卡对随机敌人造成3点技能伤害
14,周瑜,吴,火谋,每次对敌人造成伤害时，施加1层灼烧；敌人受到灼烧伤害+50%
15,吕蒙,吴,白衣渡江,1个回合不使用任何攻击卡进入“潜伏”状态；“潜伏”状态下受到所有伤害-30%；发动攻击必定暴击且无法被反击；回合结束退出潜伏状态
16,甘宁,吴,锦帆夜袭,使用步兵卡时，攻击次数+1，每次造成攻击伤害获得1层夜袭；5层夜袭获得效果：攻击直接攻击主将，持续一回合
17,陆逊,吴,火烧连营,对敌人发动任意卡都会对目标施加1层“火种”；最多3层，引爆后失效；“火种”引爆伤害3*层数；每次引爆满层“火种”，抽卡一张；
18,吕布,群雄,人中吕布,近战攻击可同时攻击敌人和其身后目标，造成相同伤害；远程攻击必定暴击
19,貂蝉,群雄,闭月羞花,自身成为攻击目标时魅惑攻击者，对目标施加1层混乱；对混乱目标施加的所有伤害增加50%
20,袁绍,群雄,四世三公,手牌上限+1（最多摸6张）；装备槽+1（最多携带7件装备）；装备栏每有1件装备攻击伤害+5%（最多+35%）；装备栏满时，粮草消耗增加50%；
21,董卓,群雄,暴政,每击败5个单位增加2点最大生命值；每次击败敌方单位抽卡一张
22,张角,群雄,黄天当立,护甲上限不限制；每次被击败时，召唤一只生命值为最大生命值50%的沙兵，如果当前回合沙兵没有被击败，张角复活回到场上，最大生命值扣减为当前最大生命值的50%，此效果可以发动3次，每次发动效果获得1层”黄天”；”黄天”效果：1层：每使用一张卡获得2护盾，2层：每次造成伤害对目标周围敌人额外造成2伤害，3层：手牌用完时抽满手牌，每回合最多发动一次
23,曹仁,魏,铁壁将军,每次获得护盾时，获得1层"铁壁"（最多6层）；每层"铁壁"使护盾上限+5；使用攻击卡或兵种卡造成伤害时，消耗所有"铁壁"额外造成伤害2 \* "铁壁"层数；处于"关隘"地形时，额外造成伤害3 \* "铁壁"层数
