ID,卡名,类型,费用(LV1/LV2),LV1效果,LV2效果,特殊属性,使用后是否移除(LV1),使用后是否移除(LV2),图鉴归属
C001,劈斩,近战攻击,0/0,对目标造成6点伤害,对目标造成8点伤害,—,否,否,初始通用
C002,攻其不备,近战攻击,0/0,对目标造成6点伤害；若此次攻击使目标HP降至50%以下，额外造成2点伤害,对目标造成8点伤害；若此次攻击使目标HP降至50%以下，额外造成3点伤害,—,否,否,初始通用
C003,舍命一战,近战攻击,0/0,对目标造成7点伤害；若我方当前护盾为0，额外造成2点伤害,对目标造成9点伤害；若我方当前护盾为0，额外造成3点伤害,—,否,否,初始通用
C004,横扫,近战攻击,0/0,对敌方所有目标各造成4点伤害,对敌方所有目标各造成6点伤害,—,否,否,初始通用
C005,穷追猛打,近战攻击,0/0,对目标造成6点伤害；若目标HP低于30%，改为造成10点伤害,对目标造成8点伤害；若目标HP低于30%，改为造成13点伤害,—,否,否,初始通用
C006,隔山打牛,近战攻击,0/0,对目标造成5点伤害，并对其身后随机一名敌将造成3点伤害,对目标造成7点伤害，并对其身后随机一名敌将造成4点伤害,—,否,否,初始通用
C007,刺眼,近战攻击,0/0,对目标造成6点伤害，并施加1层盲目,对目标造成8点伤害，并施加2层盲目,—,否,否,初始通用
C008,连击,近战攻击,0/0,对目标连续2次各造成5点伤害,对目标连续2次各造成7点伤害,—,否,否,初始通用
C009,流水剑法,近战攻击,0/0,对目标造成7点伤害；若此次攻击击杀目标，抽1张牌,对目标造成9点伤害；若此次攻击击杀目标，抽1张牌,—,否,否,初始通用
C010,流星锤,近战攻击,0/0,对目标造成5点伤害，并施加1层破甲,对目标造成6点伤害，并施加2层破甲,—,否,否,初始通用
C011,背水一战,近战攻击,0/0,对目标造成6点伤害；若我方HP低于50%，必定暴击,对目标造成8点伤害；若我方HP低于50%，必定暴击,—,否,否,初始通用
C012,趁虚而入,近战攻击,0/0,对目标造成6点伤害；若目标有负面状态，额外造成3点伤害,对目标造成8点伤害；若目标有负面状态，额外造成4点伤害,—,否,否,初始通用
C013,直击要害,近战攻击,0/0,对目标造成5点伤害，无视护甲,对目标造成7点伤害，无视护甲,—,否,否,初始通用
C014,砍倒,近战攻击,0/0,对目标造成6点伤害，并施加1层虚弱,对目标造成8点伤害，并施加2层虚弱,—,否,否,初始通用
C015,白马义从,近战攻击,0/0,对目标造成5点伤害；若手牌中有兵种卡，额外造成3点伤害,对目标造成7点伤害；若手牌中有兵种卡，额外造成4点伤害,—,否,否,初始通用
C016,重伤,近战攻击,0/0,对目标造成5点伤害，并施加1层流血,对目标造成7点伤害，并施加2层流血,—,否,否,初始通用
C017,挥砍,近战攻击,0/0,对目标造成10点伤害,对目标造成10点伤害,—,是,否,初始通用
C018,三连击,近战攻击,0/0,对目标连续3次各造成2点伤害,对目标连续3次各造成3点伤害,—,否,否,初始通用
C019,遇弱则强,近战攻击,0/0,对目标造成7点伤害；若目标处于虚弱状态，造成11点伤害,对目标造成9点伤害；若目标处于虚弱状态，造成14点伤害,—,否,否,初始通用
C020,后手,近战攻击,0/0,对目标造成5点伤害，并获得4点护盾,对目标造成6点伤害，并获得6点护盾,—,否,否,初始通用
C021,以战养战,近战攻击,0/0,对目标造成6点伤害，回复3点生命值,对目标造成8点伤害，回复4点生命值,—,否,否,初始通用
C022,为何不着甲,近战攻击,0/0,对目标造成6点伤害；若目标当前护盾为0，额外造成3点伤害,对目标造成8点伤害；若目标当前护盾为0，额外造成4点伤害,—,否,否,初始通用
C023,首当其冲,近战攻击,0/0,对目标造成6点伤害；若本回合是第一张打出的牌，额外造成2点伤害,对目标造成8点伤害；若本回合是第一张打出的牌，额外造成3点伤害,—,否,否,初始通用
C024,瓮中捉鳖,近战攻击,0/0,对目标造成6点伤害；若目标处于眩晕或滑倒状态，额外造成4点伤害,对目标造成8点伤害；若目标处于眩晕或滑倒状态，额外造成6点伤害,—,否,否,初始通用
C025,夺命,近战攻击,0/0,对目标造成5点伤害，并施加1层破甲，并施加1层流血,对目标造成7点伤害，并施加1层破甲，并施加2层流血,—,否,否,初始通用
C028,武器回收,近战攻击,0/0,对目标造成7点伤害；若弃牌堆中有近战攻击卡，额外+2伤害,对目标造成9点伤害；若弃牌堆中有近战攻击卡，额外+3伤害,—,否,否,初始通用
C029,枪刺,近战攻击,0/0,对目标造成5点伤害，并对目标身后随机一名敌将造成4点伤害,对目标造成7点伤害，并对目标身后随机一名敌将造成5点伤害,—,否,否,初始通用
C031,突围,近战攻击,0/0,对目标造成5点伤害；若场上有3名以上敌将，改为造成8点伤害,对目标造成6点伤害；若场上有3名以上敌将，改为造成11点伤害,—,否,否,初始通用
C032,毒刺,近战攻击,0/0,对目标造成6点伤害；若目标有流血或中毒状态，额外造成3点伤害,对目标造成8点伤害；若目标有流血或中毒状态，额外造成5点伤害,—,否,否,初始通用
C033,缴获,近战攻击,0/0,对目标造成5点伤害，并抽1张牌,对目标造成7点伤害，并抽1张牌,—,是,否,初始通用
C034,有勇有谋,近战攻击,0/0,对目标造成6点伤害；若本回合已打出技能卡，额外造成3点伤害,对目标造成8点伤害；若本回合已打出技能卡，额外造成4点伤害,—,否,否,初始通用
C035,暴击,近战攻击,0/0,对目标造成6点伤害；本次攻击有50%概率暴击,对目标造成8点伤害；本次攻击有50%概率暴击,—,否,否,初始通用
C036,骑兵冲阵,近战攻击,0/0,对目标造成5点伤害；若当前地形为平原，改为造成9点伤害,对目标造成7点伤害；若当前地形为平原，改为造成11点伤害,—,否,否,初始通用
C038,顺势,近战攻击,0/0,对目标造成7点伤害；若当前天气为风，此伤害无视护甲,对目标造成9点伤害；若当前天气为风，此伤害无视护甲,—,否,否,初始通用
