ID,卡名,类型,费用(LV1/LV2),LV1效果,LV2效果,特殊属性,使用后是否移除(LV1),使用后是否移除(LV2),图鉴归属
SC0001,举盾,技能,1/1,获得8点护盾,获得12点护盾,—,否,否,初始通用
SC0002,铁盾,技能,2/2,获得15点护盾,获得18点护盾,—,否,否,初始通用
SC0003,战备,技能,1/1,获得6点护盾；若本回合尚未打出攻击卡，额外获得4点护盾,获得8点护盾；若本回合尚未打出攻击卡，额外获得5点护盾,—,否,否,初始通用
SC0004,铁壁,技能,2/2,获得15点护盾并免疫一次位移效果,获得20点护盾并免疫一次位移效果,—,否,否,初始通用
SC0005,格挡,技能,1/0,获得5点护盾,获得7点护盾,—,否,否,初始通用
SC0006,盾击,技能,1/1,获得5点护盾；对目标造成4点伤害,获得7点护盾；对目标造成4点伤害,—,否,否,初始通用
SC0007,鸣鼓进军,技能,1/1,本回合打出的第一张攻击卡伤害+4,本回合打出的第一张攻击卡伤害+6,—,是,是,初始通用
SC0008,调度,技能,1/1,抽2张牌，并将1张手牌放回牌库顶,抽3张牌，并将1张手牌放回牌库顶,—,否,否,初始通用
SC0009,军令如山,技能,1/1,抽2张牌,抽3张牌,—,是,是,初始通用
SC0010,鼓舞,技能,1/1,抽1张牌；本回合下一张攻击卡伤害+3,抽1张牌；本回合下一张攻击卡伤害+5,—,否,否,初始通用
SC0011,传令,技能,0/0,抽1张牌；若抽到兵种卡，行动点+1,抽2张牌；若抽到兵种卡，行动点+1,—,否,否,初始通用
SC0012,换牌,技能,1/1,丢弃2张手牌，抽等量张牌,丢弃3张手牌，抽等量张牌,—,否,否,初始通用
SC0013,拿剑来,技能,1/1,从弃牌堆取回1张近战攻击卡到手牌,从弃牌堆取回1张任意攻击卡到手牌,—,否,否,初始通用
SC0014,号令,技能,2/2,本回合打出的近战攻击卡和兵种卡伤害+3,本回合打出的近战攻击卡和兵种卡伤害+4,—,是,是,初始通用
SC0015,疗伤,技能,1/1,回复6点HP,回复9点HP,—,否,否,初始通用
SC0016,就地补给,技能,2/2,回复10点HP,回复10点HP,—,是,否,初始通用
